"Title","एडमिन ड्यासबोर्ड - पाठ्यपुस्तक पुस्तकालय"
"NoSessionMessage","कुनै युजर लग इन छैन"
"NoSessionLink","लग इन गर्नुहोस"
"Name","ड्यासबोर्ड - पाठ्यपुस्तक पुस्तकालय"
"Message","स्वागत"
"Menu1","लग आउट"
"Menu2","होम पेज"
"Menu3","भाषा"
"Language1","अंग्रेजी"
"Language2","नेपाली"
"AddFormHeader","नयाँ किताब थप्नुहोस"
"AddLabel01","किताबको ट्याग"
"AddLabel02","किताबको नाम"
"AddLabel03","किताबको भाषा"
"AddLabel04","किताबको फाइल PDFमा अपलोड गर्नुहोस"
"AddLabel05","किताबको मेनिफेस्ट फाइल XMLमा अपलोड गर्नुहोस"
"AddButton","किताब थप्नुहोस"
"UploadSuccessMessage","फाईलहरु सफलतापुर्बक थपियो"
"ImageCreationSuccessMessage","पहिलो पृष्ठबाट चित्र बन्यो"
"UploadManifestSuccessMessage","मेनिफेस्ट फाईल थपियो"
"UploadErrorMessage","फर्म डाटा/ फाइलमा त्रुटी भेटियो"
"ImageCreationErrorMessage","पहिलो पृष्ठबाट चित्र बन्न सकेन"
"UploadManifestErrorMessage","मेनिफेस्ट फाईल थप्न सकिएन"
"DuplicationErrorMessage","किताब पहिलेनै डाटाबेसमा छ"
"DeleteErrorMessage","तोकिएको रेकर्ड हटाउन सकिएन"
"DeleteSuccessMessage","रेकर्ड सफलतापुर्वक हट्यो"
"SearchFormHeader","किताब खोजेर सम्पादन गर्नुहोस"
"SearchLabel01","किताबको नाम"
"SearchLabel02","किताबको ट्याग"
"SearchButton","किताब खोज्नुहोस"
"SearchMessage","रेकर्डहरु भेटियो"
"SearchResultColumn01","किताब आइडी"
"SearchResultColumn02","किताबको नाम"
"SearchResultColumn03","किताबको फाइल"
"SearchResultColumn04","किताबको ट्याग"
"SearchResultColumn05","दर्ता मिति"
"SearchResultColumn06","चित्रको फाइल"
"CopyrightText","2018, Chandan Regmi"